"Date","StateOfOccurrence","Location","Model","Registration","Operator","StateOfOperator","StateOfRegistry","FlightPhase","Class","Fatalities","Over2250","Over5700","ScheduledCommercial","InjuryLevel","TypeDesignator","Helicopter","Airplane","Engines","EngineType","Official","OccCats","Risk","Year"
"""2008-02-01T00:00:00.000Z""","USA"," Fort Lauderdale-Executive Airport, FL (FXE)","Rockwell International Sabreliner","N430MP","ABA Aviation Resources Inc",,"USA","Taxi","Accident",0,true,true,false,"None","SBR2",false,true,2,"Jet","","[]","RS",2008
"""2008-02-01T00:00:00.000Z""","USA","West Gardiner , Maine","CESSNA 525 CITATIONJET","N102PT"," ",,"USA","Take-off","Accident",2,true,false,false,"Fatal","C525",false,true,2,"Jet","","[""LOC-I"",""ICE""]","LOC-I",2008
"""2008-02-01T00:00:00.000Z""","USA","Ft. Lauderdale","ROCKWELL","N3RP","Qualint LLC",,"USA","Taxi","Accident",0,true,true,false,"Minor","AC11",false,true,1,"Piston","","[""GCOL"",""SCF-NP""]","RS",2008
"""2008-02-01T00:00:00.000Z""","USA","Mount Airy","RAYTHEON","N57WR","Blue Sky Airways Inc",,"USA","Approach","Accident",6,true,"",false,"Fatal","B36T",false,true,1,"Turboprop","","[""LOC-I"",""OTHR""]","LOC-I",2008
"""2008-02-02T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-31 Navajo","N6711L","Naples Air Center Inc","","USA","Unknown","Accident",0,true,false,false,"None","PA31",false,true,2,"Piston","","[]","RS",2008
"""2008-02-02T00:00:00.000Z""","USA","","Robinson Helicopter Company R44","N44NV","Laughlin Aviation LLC","","USA","Landing","Accident",0,false,false,false,"None","R44",true,false,1,"Piston","","[]","",2008
"""2008-02-02T00:00:00.000Z""","USA","","Piper Aircraft Inc PA-34 Seneca","N707PE","Private US Operator","","USA","Landing","Accident",0,true,false,false,"None","PA34",false,true,2,"Piston","","[]","RS",2008
"""2008-02-02T00:00:00.000Z""","USA","Cabazon","CESSNA 340","N354TJ","Michael John Bybyk",,"USA","En route","Accident",4,true,"",false,"Fatal","C340",false,true,2,"Piston","","[""OTHR"",""CFIT""]","CFIT",2008
"""2008-02-03T00:00:00.000Z""","USA","Denver","DE HAVILLAND DHC8","N444YV","",,"USA","En route","Accident",0,true,true,true,"Serious","VAMP",,true,1,"Jet",true,"[""TURB""]","TURB",2008
"""2008-02-05T00:00:00.000Z""","USA","Ankeny , Iowa","SWEARINGENMERLIN IV A","N120SC","McNeely Charter Service","USA","USA","Take-off","Accident",0,true,true,true,"None","SW3",,true,2,"Turboprop",true,"[""RE"",""ADRM"",""LOC-G""]","RS",2008
