"Date,StateOfOccurrence,Location,Model,Registration,Operator,StateOfOperator,StateOfRegistry,FlightPhase,Class,Fatalities,Over2250,Over5700,ScheduledCommercial,InjuryLevel,TypeDesignator,Helicopter,Airplane,Engines,EngineType,Official,OccCats,Risk,Year,SeriousFatalInjury,Destroyed"
"""2008-02-02T00:00:00.000Z"",USA,Cabazon,CESSNA 340,N354TJ,Michael John Bybyk,,USA,En route,Accident,4.0,True,False,False,Fatal,C340,False,True,2,Piston,,""[""""OTHR"""",""""CFIT""""]"",CFIT,2008,1,1"
"""2008-02-05T00:00:00.000Z"",USA,McGrath,DE HAVILLAND DHC2 I,N323KT,,,USA,Take-off,Accident,0.0,True,False,False,None,DH90,False,True,2,Piston,,""[""""LOC-G"""",""""OTHR""""]"",RS,2008,0,0"
"""2008-02-07T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-44 Seminole,N554PC,Parks College of St Louis University,,USA,Approach,Accident,0.0,True,False,False,None,PA44,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-07T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N60YX,Universal Aviators Academy Inc,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-08T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-44 Seminole,N2922X,Gavin Aviation,,USA,Manoeuvring,Accident,0.0,True,False,False,None,PA44,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-12T00:00:00.000Z"",USA,Leesburg,RAYTHEON,N16DK,DEKA Research &amp; Development Corp,,USA,Landing,Accident,0.0,True,True,False,None,STAR,False,True,2,Turboprop,,""[""""ADRM"""",""""RE""""]"",RS,2008,0,0"
"""2008-02-12T00:00:00.000Z"",USA,Cahokia,CESSNA 425 NO SERIES EXISTS,N67726,,,USA,Taxi,Accident,0.0,True,False,False,None,C425,False,True,2,Turboprop,,""[""""LOC-G"""",""""GCOL""""]"",RS,2008,0,0"
"""2008-02-13T00:00:00.000Z"",USA,Sterling,PIPER PA23 250,N62793,,,USA,En route,Accident,1.0,True,False,False,Fatal,PA47,False,True,1,Jet,,""[""""SCF-NP""""]"",SCF,2008,1,1"
"""2008-02-16T00:00:00.000Z"",USA,Benton,CESSNA 414,N41LP,Bajaj Holdings LLC,,USA,Manoeuvring,Accident,2.0,True,False,False,Fatal,C414,False,True,2,Piston,,""[""""LALT""""]"",OTH,2008,1,1"
"""2008-02-18T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N1031U,Gentle Breeze LLC,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-21T00:00:00.000Z"",USA,,Beechcraft Corp Baron (Beech 58),N93DF,Private US Operator,,USA,Taxi,Accident,0.0,True,False,False,None,BE58,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-21T00:00:00.000Z"",USA,Aniak,LEARJET 35,N351AS,Chipola Aviation Inc,,USA,Landing,Accident,0.0,True,True,False,None,LJ35,False,True,2,Jet,,""[""""ARC""""]"",RS,2008,0,0"
"""2008-02-22T00:00:00.000Z"",USA,Kayenta,RAYTHEON,N305PC,Peabody Western Coal Company,,USA,Landing,Accident,0.0,True,True,False,Serious,TEX2,False,True,1,Turboprop,,""[""""RE""""]"",RS,2008,1,0"
"""2008-02-22T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N113GD,Private US Operator,,USA,Take-off,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-23T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N852AT,US Aviation Academy,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-02-28T00:00:00.000Z"",USA,""Brookhaven , Mississippi"",BEECH 55,N4265S,,,USA,Landing,Accident,0.0,True,False,False,None,BE55,False,True,2,Piston,,""[""""ARC""""]"",RS,2008,0,0"
"""2008-03-02T00:00:00.000Z"",USA,Sherman,NORTH AMERICAN,N8523A,,,USA,En route,Accident,0.0,True,False,False,None,B25,False,True,2,Piston,,""[""""SCF-PP""""]"",SCF,2008,0,0"
"""2008-03-03T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N44730,Private US Operator,,USA,Landing,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-03-04T00:00:00.000Z"",USA,,Bell Bell 206,N404EH,Blue Sky LLC,,USA,Manoeuvring,Accident,0.0,False,False,False,None,EBOY,False,True,1,Piston,,[],RS,2008,0,0"
"""2008-03-04T00:00:00.000Z"",USA,Oklahoma City,CESSNA,N113SH,Southwest Orthopedic &amp; Sports Medicine Clinic PC,,USA,En route,Accident,5.0,True,False,False,Fatal,C172,False,True,1,Piston,,""[""""BIRD""""]"",RS,2008,1,0"
"""2008-03-08T00:00:00.000Z"",USA,""Stuart , Florida"",CESSNA 500 CITATION,N400GG,,,USA,Taxi,Accident,0.0,True,True,False,None,C500,False,True,2,Jet,,""[""""GCOL""""]"",RS,2008,0,0"
"""2008-03-10T00:00:00.000Z"",USA,Mercury,CESSNA 402,N594DM,Distribution Management Corporation Inc,,USA,En route,Accident,0.0,True,False,True,None,C402,False,True,2,Piston,,""[""""ARC"""",""""FUEL"""",""""SCF-NP""""]"",RS,2008,0,0"
"""2008-03-11T00:00:00.000Z"",USA,,Bell Bell 206,N7028J,Aspen Helicopters,,USA,Manoeuvring,Accident,0.0,False,False,False,None,EBOY,False,True,1,Piston,,[],RS,2008,0,0"
"""2008-03-13T00:00:00.000Z"",USA,Back Gate,AIR TRACTOR AT602 NO SERIES EXISTS,N602KP,,,USA,Landing,Accident,0.0,True,False,False,None,AT6T,False,True,1,Turboprop,,""[""""RE"""",""""LOC-G""""]"",RS,2008,0,0"
"""2008-03-14T00:00:00.000Z"",USA,""Columbus , Mississippi"",AIR TRACTOR AT301,N7302C,,,USA,Manoeuvring,Accident,0.0,True,False,False,Minor,AT3P,False,True,1,Piston,,""[""""LOC-I""""]"",LOC-I,2008,0,1"
"""2008-03-15T00:00:00.000Z"",USA,Fort Lauderdale,CESSNA 402,N300SH,Bimini Island Air,,USA,Landing,Accident,0.0,True,False,False,None,C402,False,True,2,Piston,,""[""""SCF-NP""""]"",SCF,2008,0,0"
"""2008-03-20T00:00:00.000Z"",USA,Portland,PIPER PA31P 350,N4098A,Ameriflight,,USA,Landing,Accident,0.0,True,False,False,None,PA47,False,True,1,Jet,,""[""""ARC"""",""""SCF-NP""""]"",RS,2008,0,0"
"""2008-03-20T00:00:00.000Z"",USA,""Idaho Falls , Idaho"",BEECH 90,N124BK,MTB Investments LLC,,USA,Landing,Accident,0.0,True,False,False,None,BE9L,False,True,2,Turboprop,,""[""""ARC"""",""""RE""""]"",RS,2008,0,0"
"""2008-03-21T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-44 Seminole,N730FT,Orlando Flight Training,,USA,Landing,Accident,0.0,True,False,False,None,PA44,False,True,2,Piston,,[],RS,2008,0,0"
"""2008-03-22T00:00:00.000Z"",USA,,Piper Aircraft Inc PA-34 Seneca,N66AH,Private US Operator,,USA,Taxi,Accident,0.0,True,False,False,None,PA34,False,True,2,Piston,,[],RS,2008,0,0"
